id_libro,autor,publicacion,titulo,num_libros,imagen_libro
86,John Grisham,1989,A Time to Kill,158,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),109,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,John Green,2008,Paper Towns,178,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,William Goldman,1973,The Princess Bride,129,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,S.E. Hinton,1967,The Outsiders,156,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",147,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",124,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,Frances Hodgson Burnett,1911,The Secret Garden,1350,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,555,https://images.gr-assets.com/books/1327881361m/320.jpg
95,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,2303,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",133,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,2207,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",209,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",147,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,Barbara Kingsolver,1998,The Poisonwood Bible,39,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,David Sedaris,2e3,Me Talk Pretty One Day,59,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,Maurice Sendak,1963,Where the Wild Things Are,110,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,1310,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,Cormac McCarthy,2006,The Road,181,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,Veronica Roth,2013,"Allegiant (Divergent, #3)",153,https://images.gr-assets.com/books/1395582745m/18710190.jpg
106,Tina Fey,2011,Bossypants,48,https://images.gr-assets.com/books/1481509554m/9418327.jpg
107,Nicholas Sparks,1999,A Walk to Remember,131,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,Sophie Kinsella,2e3,"Confessions of a Shopaholic (Shopaholic, #1)",144,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,1319,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",202,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,Kim Edwards,2005,The Memory Keeper's Daughter,98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,Jojo Moyes,2012,"Me Before You (Me Before You, #1)",168,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,Joseph Heller,1961,Catch-22,251,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,172,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,Jeffrey Eugenides,2002,Middlesex,125,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,2448,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",165,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,Amy Tan,1989,The Joy Luck Club,126,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,Margaret Atwood,1985,The Handmaid's Tale,236,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",93,https://images.gr-assets.com/books/1461611233m/452306.jpg
121,"Vladimir Nabokov, Craig Raine",1955,Lolita,370,https://images.gr-assets.com/books/1377756377m/7604.jpg
122,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",80,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",11,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,Emma Donoghue,2010,Room,151,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,1929,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,Frank Herbert,1965,Dune (Dune Chronicles #1),241,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,Malcolm Gladwell,2e3,The Tipping Point: How Little Things Can Make a Big Difference,100,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,Walter Isaacson,2011,Steve Jobs,190,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,275,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,Ernest Hemingway,1952,The Old Man and the Sea,666,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,John Steinbeck,1939,The Grapes of Wrath,381,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,Mitch Albom,2003,The Five People You Meet in Heaven,123,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",1314,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",122,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,George R.R. Martin,2e3,"A Storm of Swords (A Song of Ice and Fire, #3)",175,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,75,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,Diana Gabaldon,1991,"Outlander (Outlander, #1)",189,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,1579,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",155,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",193,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,Andy Weir,2012,The Martian,148,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)",255,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143,Anthony Doerr,2014,All the Light We Cannot See,139,https://images.gr-assets.com/books/1451445646m/18143977.jpg
144,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",16,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,Dan Brown,2001,Deception Point,180,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,Donna Tartt,2013,The Goldfinch,108,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,Jay Asher,2007,Thirteen Reasons Why,150,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,Tracy Chevalier,1999,Girl with a Pearl Earring,169,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,Gayle Forman,2009,"If I Stay (If I Stay, #1)",130,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,Anita Diamant,1997,The Red Tent,80,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",121,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,Nicholas Sparks,2006,Dear John,111,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",125,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,William Shakespeare,1606,Macbeth,1732,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)",453,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)",65,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,72,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",338,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",92,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,Charles Dickens,1860,Great Expectations,1725,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)",470,https://images.gr-assets.com/books/1389977161m/18512.jpg
162,"Albert Camus, Matthew    Ward",1942,The Stranger,675,https://images.gr-assets.com/books/1349927872m/49552.jpg
163,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)",72,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,Rainbow Rowell,2013,Eleanor & Park,103,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)",176,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,Ally Condie,2010,"Matched (Matched, #1)",84,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,Neil Gaiman,2001,"American Gods (American Gods, #1)",196,https://images.gr-assets.com/books/1258417001m/4407.jpg
168,"Stephen King, Bernie Wrightson",1978,The Stand,195,https://images.gr-assets.com/books/1213131305m/149267.jpg
169,Nicholas Sparks,2008,The Last Song,95,https://images.gr-assets.com/books/1286549186m/6400090.jpg
170,Dan Brown,1998,Digital Fortress,185,https://images.gr-assets.com/books/1360095966m/11125.jpg
171,"Jane Austen, Fiona Stafford",1815,Emma,1710,https://images.gr-assets.com/books/1373627931m/6969.jpg
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina,1492,https://images.gr-assets.com/books/1352422904m/15823480.jpg
173,Anthony Burgess,1962,A Clockwork Orange,283,https://images.gr-assets.com/books/1348339306m/227463.jpg
174,William Paul Young,2007,The Shack,134,https://images.gr-assets.com/books/1344270232m/1812457.jpg
175,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)",87,https://images.gr-assets.com/books/1327924597m/4502507.jpg
176,Stephen King,1986,It,7,https://images.gr-assets.com/books/1309376909m/18342.jpg
177,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment,1714,https://images.gr-assets.com/books/1382846449m/7144.jpg
178,Sylvia Plath,1963,The Bell Jar,246,https://images.gr-assets.com/books/1473890514m/6514.jpg
179,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)",184,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
180,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,972,https://images.gr-assets.com/books/1428715580m/52036.jpg
181,Truman Capote,1965,In Cold Blood,223,https://images.gr-assets.com/books/1424931136m/168642.jpg
182,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)",119,https://images.gr-assets.com/books/1327873282m/6304335.jpg
183,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)",103,https://images.gr-assets.com/books/1454962884m/7171637.jpg
184,"Roald Dahl, Quentin Blake",1988,Matilda,242,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
185,Erin Morgenstern,2011,The Night Circus,119,https://images.gr-assets.com/books/1387124618m/9361589.jpg
186,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",111,https://images.gr-assets.com/books/1355932638m/37470.jpg
187,Scott Westerfeld,2005,"Uglies (Uglies, #1)",98,https://images.gr-assets.com/books/1443904172m/24770.jpg
188,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)",115,https://images.gr-assets.com/books/1327885335m/10664113.jpg
189,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)",380,https://images.gr-assets.com/books/1411114164m/33.jpg
190,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,101,https://images.gr-assets.com/books/1453189881m/12262741.jpg
191,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,90,https://images.gr-assets.com/books/1442239711m/472331.jpg
192,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)",123,https://images.gr-assets.com/books/1472068073m/186074.jpg
193,Malcolm Gladwell,2008,Outliers: The Story of Success,120,https://images.gr-assets.com/books/1344266315m/3228917.jpg
194,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale",1823,https://images.gr-assets.com/books/1327940656m/153747.jpg
195,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,116,https://images.gr-assets.com/books/1351979318m/2728527.jpg
196,Chuck Palahniuk,1996,Fight Club,162,https://images.gr-assets.com/books/1357128997m/5759.jpg
197,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, #1)",109,https://images.gr-assets.com/books/1468560853m/301082.jpg
198,Alice Walker,1982,The Color Purple,155,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
199,John Grogan,2005,Marley and Me: Life and Love With the World's Worst Dog,119,https://images.gr-assets.com/books/1308858322m/12691.jpg
200,Agatha Christie,1939,And Then There Were None,474,https://images.gr-assets.com/books/1391120695m/16299.jpg
201,Dan Brown,2009,"The Lost Symbol (Robert Langdon, #3)",208,https://images.gr-assets.com/books/1358274396m/6411961.jpg
202,Becca Fitzpatrick,2009,"Hush, Hush (Hush, Hush, #1)",91,https://images.gr-assets.com/books/1358261334m/6339664.jpg
203,Jamie McGuire,2011,"Beautiful Disaster (Beautiful, #1)",85,https://images.gr-assets.com/books/1358259032m/11505797.jpg
204,Charles Dickens,1843,A Christmas Carol,2380,https://images.gr-assets.com/books/1406512317m/5326.jpg
205,Anne Rice,1976,"Interview with the Vampire (The Vampire Chronicles, #1)",189,https://images.gr-assets.com/books/1380631642m/43763.jpg
206,Kiera Cass,2012,"The Selection (The Selection, #1)",93,https://images.gr-assets.com/books/1322103400m/10507293.jpg
207,Janet Evanovich,1994,"One for the Money (Stephanie Plum, #1)",109,https://images.gr-assets.com/books/1316730230m/6853.jpg
208,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,66,https://images.gr-assets.com/books/1327878144m/6493208.jpg
209,Thomas Harris,1988,"The Silence of the Lambs  (Hannibal Lecter, #2)",187,https://images.gr-assets.com/books/1390426249m/23807.jpg
210,Richelle Mead,2007,"Vampire Academy (Vampire Academy, #1)",132,https://images.gr-assets.com/books/1361098973m/345627.jpg
211,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,116,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
212,Ian McEwan,2001,Atonement,155,https://images.gr-assets.com/books/1320449708m/6867.jpg
213,"Franz Kafka, Stanley Corngold",1915,The Metamorphosis,1316,https://images.gr-assets.com/books/1359061917m/485894.jpg
214,Rick Riordan,2007,"The Titan's Curse (Percy Jackson and the Olympians, #3)",94,https://images.gr-assets.com/books/1361038385m/561456.jpg
215,Ernest Cline,2011,Ready Player One,112,https://images.gr-assets.com/books/1500930947m/9969571.jpg
216,Garth Stein,2006,The Art of Racing in the Rain,90,https://images.gr-assets.com/books/1377206302m/3153910.jpg
217,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",70,https://images.gr-assets.com/books/1312066724m/21996.jpg
218,Sylvia Day,2012,"Bared to You (Crossfire, #1)",96,https://images.gr-assets.com/books/1477803272m/13572249.jpg
